estrutura,tipo,n,insercao_ms,busca_ms,remocao_ms,nns_ms,range_ms
Trie,aleatorio,100,0.1224,0.012,0.0967,-,-
Patricia,aleatorio,100,0.0196,0.0136,0.0536,-,-
Trie,aleatorio,1000,1.643,0.214199,0.9749,-,-
Patricia,aleatorio,1000,0.248999,0.1444,0.5029,-,-
Trie,aleatorio,10000,17.2842,4.0994,11.7573,-,-
Patricia,aleatorio,10000,3.3121,1.8456,5.88999,-,-
Trie,aleatorio,50000,119.669,26.6498,68.52,-,-
Patricia,aleatorio,50000,22.699,11.695,42.3588,-,-
Trie,aleatorio,100000,537.107,47.016,285.309,-,-
Patricia,aleatorio,100000,56.0368,34.4973,142.6,-,-
Trie,ordenado,100,0.0713,0.0084,0.0841,-,-
Patricia,ordenado,100,0.0234,0.0146,0.0539,-,-
Trie,ordenado,1000,0.7192,0.356099,0.952299,-,-
Patricia,ordenado,1000,0.2531,0.1993,0.6088,-,-
Trie,ordenado,10000,13.1469,4.4165,12.8601,-,-
Patricia,ordenado,10000,2.8167,1.7016,7.30109,-,-
Trie,ordenado,50000,77.5732,18.0296,94.1835,-,-
Patricia,ordenado,50000,21.0531,15.9382,43.6561,-,-
Trie,ordenado,100000,167.167,31.3087,148.391,-,-
Patricia,ordenado,100000,53.8823,20.9655,126.898,-,-
Trie,decrescente,100,0.0729,0.0106,0.092,-,-
Patricia,decrescente,100,0.0249,0.0148,0.0519,-,-
Trie,decrescente,1000,0.769099,0.3894,1.0102,-,-
Patricia,decrescente,1000,0.542,0.612699,0.6152,-,-
Trie,decrescente,10000,25.6046,5.17199,10.0863,-,-
Patricia,decrescente,10000,2.7949,3.4904,7.56009,-,-
Trie,decrescente,50000,90.4659,15.671,58.8993,-,-
Patricia,decrescente,50000,18.4872,8.86899,31.5231,-,-
Trie,decrescente,100000,173.671,34.0056,114.336,-,-
Patricia,decrescente,100000,62.4868,38.3249,135.995,-,-
Splay,aleatorio,100,0.02,0.0165,0.0176,-,-
Treap,aleatorio,100,0.0261,0.0111,0.018,-,-
Splay,aleatorio,1000,0.3405,0.270299,0.3633,-,-
Treap,aleatorio,1000,0.2429,0.1377,0.256899,-,-
Splay,aleatorio,10000,3.9117,4.2444,5.52309,-,-
Treap,aleatorio,10000,3.5527,3.9781,3.3194,-,-
Splay,aleatorio,50000,39.7661,45.1387,45.2693,-,-
Treap,aleatorio,50000,39.7426,30.9186,24.8857,-,-
Splay,aleatorio,100000,103.725,82.5128,112.079,-,-
Treap,aleatorio,100000,55.0192,62.7722,75.9088,-,-
Splay,ordenado,100,0.0079,0.0084,0.0073,-,-
Treap,ordenado,100,0.01,0.0074,0.0081,-,-
Splay,ordenado,1000,0.0676,0.104,0.0677,-,-
Treap,ordenado,1000,0.0985,0.1056,0.0996,-,-
Splay,ordenado,10000,0.601099,1.4571,1.1257,-,-
Treap,ordenado,10000,1.5161,2.2733,1.1566,-,-
Splay,ordenado,50000,4.1853,10.1225,6.02309,-,-
Treap,ordenado,50000,6.19069,8.55649,5.7431,-,-
Splay,ordenado,100000,5.89959,15.848,9.45459,-,-
Treap,ordenado,100000,13.3008,18.5703,12.3614,-,-
Splay,decrescente,100,0.0228,0.0094,0.0086,-,-
Treap,decrescente,100,0.018,0.0109,0.0102,-,-
Splay,decrescente,1000,0.0768,0.0891,0.1125,-,-
Treap,decrescente,1000,0.1314,0.1068,0.0927,-,-
Splay,decrescente,10000,0.5267,0.893699,0.942699,-,-
Treap,decrescente,10000,1.0059,1.3699,1.3057,-,-
Splay,decrescente,50000,2.839,8.93629,6.80379,-,-
Treap,decrescente,50000,10.9949,8.24689,6.41319,-,-
Splay,decrescente,100000,5.1797,13.5915,14.853,-,-
Treap,decrescente,100000,12.9001,17.6568,14.8491,-,-
KD-Tree,uniforme,100,0.0488,0.0602,0.0894,0.0663,0.0576
KD-Tree,uniforme,1000,0.594299,0.9549,1.3298,0.958599,0.624099
KD-Tree,uniforme,10000,10.0444,14.8409,22.121,14.0018,8.68589
KD-Tree,uniforme,50000,79.166,98.1157,128.163,94.5911,26.9413
KD-Tree,uniforme,100000,187.154,221.241,271.849,261.249,58.5206
